Item Name,Level 1 Code,Level 1 Category,Level 2 Code,Level 2 Category,Level 3 Code,Level 3 Category,Level 4 Code,Level 4 Category,Template
"Concentric Reducer, A403-WP304L, Seamless SCH20",01,Stainless Steel (SUS),0105,Concentric Reducer,0105017,A403-WP304L,0105017005,Seamless SCH20,A
"Concentric Reducer, A403-WP304L, Seamless SCH10",01,Stainless Steel (SUS),0105,Concentric Reducer,0105017,A403-WP304L,0105017006,Seamless SCH10,A
"Union, A182 F304, Threaded",01,Stainless Steel (SUS),0106,Union,0106001,A182 F304,0106001002,Threaded,A
"Union, A182 F304, SW",01,Stainless Steel (SUS),0106,Union,0106001,A182 F304,0106001003,SW,A
"Union, A182 F304L, Socket Welding Type",01,Stainless Steel (SUS),0106,Union,0106002,A182 F304L,0106002001,Socket Welding Type,A
"Union, SUS 304, Screw Type",01,Stainless Steel (SUS),0106,Union,0106003,SUS 304,0106003002,Screw Type,A
"Union, SUS 304, SW Type",01,Stainless Steel (SUS),0106,Union,0106003,SUS 304,0106003003,SW Type,A
"TOE Nipple, SUS 304",01,Stainless Steel (SUS),0107,Nipple,0107007,SUS 304,0107007004,TOE Nipple,A
"Hose Nipple, SUS 304",01,Stainless Steel (SUS),0107,Nipple,0107007,SUS 304,0107007005,Hose Nipple,A
"Nipple, SUS 304",01,Stainless Steel (SUS),0107,Nipple,0107007,SUS 304,0107007008,Standard,A
"Nipple, A312 TP304, ERW SCH40",01,Stainless Steel (SUS),0107,Nipple,0107008,A312 TP304,0107008002,ERW SCH40,A
"Nipple, A312 TP304, Seamless SCH10",01,Stainless Steel (SUS),0107,Nipple,0107008,A312 TP304,0107008004,Seamless SCH10,A
"Nipple, A312 TP304, Seamless SCH40",01,Stainless Steel (SUS),0107,Nipple,0107008,A312 TP304,0107008006,Seamless SCH40,A
"Nipple, A312 TP304, Seamless SCH80",01,Stainless Steel (SUS),0107,Nipple,0107008,A312 TP304,0107008007,Seamless SCH80,A
"Nipple, A312 TP304L, SCH40",01,Stainless Steel (SUS),0107,Nipple,0107009,A312 TP304L,0107009002,SCH40,A
"Nipple, A312 TP304L, SCH80",01,Stainless Steel (SUS),0107,Nipple,0107009,A312 TP304L,0107009003,SCH80,A
"Nipple, A312 TP316, Seamless SCH40",01,Stainless Steel (SUS),0107,Nipple,0107010,A312 TP316,0107010004,Seamless SCH40,A
"TOE Nipple, SUS 316",01,Stainless Steel (SUS),0107,Nipple,0107012,SUS 316,0107012001,TOE Nipple,A
"Nipple, A182 F304, Threaded",01,Stainless Steel (SUS),0107,Nipple,0107018,A182 F304,0107018001,Threaded,A
"Flange, A182-F304 150#, Slip On / RF",01,Stainless Steel (SUS),0108,Flange,0108005,A182-F304 150#,0108005001,Slip On / RF,A
"Flange, A182-F304 150#, Welding Neck / RF",01,Stainless Steel (SUS),0108,Flange,0108005,A182-F304 150#,0108005005,Welding Neck / RF,A
"Flange, A182-F304 150#, Lap Joint",01,Stainless Steel (SUS),0108,Flange,0108005,A182-F304 150#,0108005008,Lap Joint,A
"Flange, A182-F304 150#, Stub End",01,Stainless Steel (SUS),0108,Flange,0108005,A182-F304 150#,0108005009,Stub End,A
"Flange, A182-F304 150#, Blind / RF",01,Stainless Steel (SUS),0108,Flange,0108005,A182-F304 150#,0108005011,Blind / RF,A
"Flange, A182-F304 150#, Blind / FF",01,Stainless Steel (SUS),0108,Flange,0108005,A182-F304 150#,0108005012,Blind / FF,A
"Flange, A182-F316L 150#, Slip On / RF",01,Stainless Steel (SUS),0108,Flange,0108012,A182-F316L 150#,0108012001,Slip On / RF,A
"Flange, A182-F316L 150#, Blind / RF",01,Stainless Steel (SUS),0108,Flange,0108012,A182-F316L 150#,0108012011,Blind / RF,A
Flange,01,Stainless Steel (SUS),0108,Flange,0108020,Other,0108020001,Standard,A
"Flange, SUS 316L, EP Slip On / RF",01,Stainless Steel (SUS),0108,Flange,0108022,SUS 316L,0108022004,EP Slip On / RF,A
"Flanged Pup Piece, SUS 316L",01,Stainless Steel (SUS),0108,Flange,0108022,SUS 316L,0108022011,Flanged Pup Piece,A
"Flange, A182-F304L 150#, Slip On / RF",01,Stainless Steel (SUS),0108,Flange,0108023,A182-F304L 150#,0108023005,Slip On / RF,A
"Flange, A182-F304L 150#, Welding Neck / RF",01,Stainless Steel (SUS),0108,Flange,0108023,A182-F304L 150#,0108023009,Welding Neck / RF,A
"Flange, A182-F304L 150#, Blind / RF",01,Stainless Steel (SUS),0108,Flange,0108023,A182-F304L 150#,0108023013,Blind / RF,A
DIN 16-BAR F304,01,Stainless Steel (SUS),0108,Flange,0108027,DIN 16-BAR F304,0108027001,"FF Flange / DIN-16BAR, F304",A
"Flange, PTFE Lined",01,Stainless Steel (SUS),0108,Flange,0108030,PTFE Lined,0108030001,PTFE Lined,A
"Flange, A182-F316 150#, Slip On / RF",01,Stainless Steel (SUS),0108,Flange,0108033,A182-F316 150#,0108033002,Slip On / RF,A
"Flange, A182-F316 150#, Blind / RF",01,Stainless Steel (SUS),0108,Flange,0108033,A182-F316 150#,0108033003,Blind / RF,A
"Flange, A182-F316 300#, Blind / RF",01,Stainless Steel (SUS),0108,Flange,0108034,A182-F316 300#,0108034005,Blind / RF,A
"Flange, A182-F304L 300#, Slip On / RF",01,Stainless Steel (SUS),0108,Flange,0108035,A182-F304L 300#,0108035003,Slip On / RF,A
DIN-25BAR F304,01,Stainless Steel (SUS),0108,Flange,0108040,DIN-25BAR F304,0108040001,"RF Flange / DIN-25BAR, F304",A
"SUS 304 Plate Flange, 10K, SORF (Slip-on/RF)",01,Stainless Steel (SUS),0108,Flange,0108042,"SUS 304 Plate Flange, 10K",0108042001,SORF (Slip-on/RF),A
"Ball Valve, A351 CF8 (Cast), Flange 150LB",01,Stainless Steel (SUS),0109,Ball Valve,0109002,A351 CF8 (Cast),0109002001,Flange 150LB,A
"Ball Valve, A351 CF8 (Cast), Screw 150LB",01,Stainless Steel (SUS),0109,Ball Valve,0109002,A351 CF8 (Cast),0109002002,Screw 150LB,A
"Ball Valve, A351 CF8M (Cast), Flange 150LB",01,Stainless Steel (SUS),0109,Ball Valve,0109003,A351 CF8M (Cast),0109003001,Flange 150LB,A
"Ball Valve, A351 CF8M (Cast), Screw 150LB",01,Stainless Steel (SUS),0109,Ball Valve,0109003,A351 CF8M (Cast),0109003002,Screw 150LB,A
"Ball Valve, A182 F304 (Forged), Flange 150LBS",01,Stainless Steel (SUS),0109,Ball Valve,0109006,A182 F304 (Forged),0109006006,Flange 150LBS,A
